,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex,underground_counts,adress
1486,ID 105284905,homeowner,https://www.cian.ru/rent/flat/301785169/,Москва,rent,flat,20,24,1,21.0,60000,0,Текстильщики,1-й Грайвороновский проезд,13к4,Кузьминки,,22,"Москва, 1-й Грайвороновский проезд, 13к4"
1487,Ольга Котова,realtor,https://www.cian.ru/rent/flat/301591146/,Москва,rent,flat,5,5,-1,17.0,27000,0,Сокольники, Сокольнический Вал,1/2С1,Рижская,,8,"Москва,  Сокольнический Вал, 1/2С1"
1488,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301787628/,Москва,rent,flat,10,15,-1,31.0,89900,0,Хорошевский,Ходынский бульвар,2,ЦСКА,,20,"Москва, Ходынский бульвар, 2"
1489,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/301675865/,Москва,rent,flat,13,14,1,22.9,32000,0,, Стожарова,11,Санино,,15,"Москва,  Стожарова, 11"
1490,ID 10998969,unknown,https://www.cian.ru/rent/flat/266266358/,Москва,rent,flat,1,9,1,10.0,27000,0,Кузьминки,Волгоградский проспект,60К1,Кузьминки,,22,"Москва, Волгоградский проспект, 60К1"
1491,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/299726267/,Москва,rent,flat,15,25,1,23.1,48900,0,Бабушкинский,Кольская ,8к2,Свиблово,,15,"Москва, Кольская , 8к2"
1492,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301787210/,Москва,rent,flat,14,17,1,18.7,36800,0,Ярославский,Ярославское шоссе,116К2,ВДНХ,,18,"Москва, Ярославское шоссе, 116К2"
1493,Полина Михайлова,realtor,https://www.cian.ru/rent/flat/290600854/,Москва,rent,flat,3,4,1,17.0,44000,0,Мещанский,Средняя Переяславская ,27С1,Рижская,,8,"Москва, Средняя Переяславская , 27С1"
1494,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301411430/,Москва,rent,flat,18,23,1,21.4,44000,0,Текстильщики,1-й Грайвороновский проезд,13к2,Текстильщики,,28,"Москва, 1-й Грайвороновский проезд, 13к2"
1495,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301597961/,Москва,rent,flat,3,17,1,19.8,41800,0,, Саларьевская,15к1,Саларьево,,29,"Москва,  Саларьевская, 15к1"
1496,ДОМ Брокера,real_estate_agent,https://www.cian.ru/rent/flat/292302238/,Москва,rent,flat,4,10,-1,20.0,33999,0,Нижегородский,Подъемная ,14С37,Авиамоторная,,14,"Москва, Подъемная , 14С37"
1497,Степан Чиркинов,realtor,https://www.cian.ru/rent/flat/298432101/,Москва,rent,flat,8,17,1,19.6,39000,0,, Большое Понизовье,7,Филатов Луг,,80,"Москва,  Большое Понизовье, 7"
1498,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301054590/,Москва,rent,flat,9,33,1,20.0,60000,0,Головинский,Кронштадтский бульвар,8к1,Водный стадион,,21,"Москва, Кронштадтский бульвар, 8к1"
1499,Ирина Грачева,realtor,https://www.cian.ru/rent/flat/301590139/,Москва,rent,flat,3,20,1,21.0,23000,0,Крюково,проспект Георгиевский,37к1,Зеленоград — Крюково,,20,"Москва, проспект Георгиевский, 37к1"
1500,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301361655/,Москва,rent,flat,5,9,1,22.6,39000,0,, Александры Монаховой,92к2,Бунинская аллея,,86,"Москва,  Александры Монаховой, 92к2"
1501,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301787687/,Москва,rent,flat,3,24,1,24.0,70800,0,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,,17,"Москва, Шелепихинская набережная, 34к4"
1502,ID 20450634,homeowner,https://www.cian.ru/rent/flat/301706249/,Москва,rent,flat,25,25,1,21.3,45000,0,Люблино,Люблинская ,72Ак2,Депо,,11,"Москва, Люблинская , 72Ак2"
1503,Антон Черников,realtor,https://www.cian.ru/rent/flat/301597048/,Москва,rent,flat,4,15,-1,35.4,180000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская,,12,"Москва,  1-я Ямского Поля, 1к1"
1504,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301787658/,Москва,rent,flat,15,24,1,22.0,67300,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ,,14,"Москва, Автозаводская , 23Бк2"
1505,ID 59623741,homeowner,https://www.cian.ru/rent/flat/268824507/,Москва,rent,flat,2,5,-1,13.0,30000,0,Нижегородский,Подъемная ,14С25,Авиамоторная,,14,"Москва, Подъемная , 14С25"
1506,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301787652/,Москва,rent,flat,3,24,1,22.0,67300,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ,,14,"Москва, Автозаводская , 23Бк2"
1507,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301787654/,Москва,rent,flat,5,24,1,23.0,67300,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ,,14,"Москва, Автозаводская , 23Бк2"
1508,Елена Лобачева,realtor,https://www.cian.ru/rent/flat/301600140/,Москва,rent,flat,1,16,1,34.2,30000,0,, Омская,2,Аэропорт Внуково,,6,"Москва,  Омская, 2"
1509,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301787665/,Москва,rent,flat,13,13,-1,30.0,93990,0,Филевский парк, Василисы Кожиной,13,Парк Победы,,8,"Москва,  Василисы Кожиной, 13"
1510,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/301205585/,Москва,rent,flat,40,44,-1,55.0,175000,0,Пресненский,Ходынская ,2,Улица 1905 года,,12,"Москва, Ходынская , 2"
1511,ID 101760648,homeowner,https://www.cian.ru/rent/flat/301281616/,Москва,rent,flat,7,7,1,27.0,30000,0,, Золотошвейная,6,Филатов Луг,,80,"Москва,  Золотошвейная, 6"
1512,Penny Lane Realty,real_estate_agent,https://www.cian.ru/rent/flat/301558045/,Москва,rent,flat,7,10,1,51.0,95000,0,Щукино, Маршала Рыбалко,2к9,Панфиловская,,5,"Москва,  Маршала Рыбалко, 2к9"
1513,YES,official_representative,https://www.cian.ru/rent/flat/250029318/,Москва,rent,flat,15,24,-1,32.0,78000,0,Митино,Митинская ,16,Митино,,18,"Москва, Митинская , 16"
1514,Елена Бордачева,realtor,https://www.cian.ru/rent/flat/277348281/,Москва,rent,flat,2,3,-1,20.0,47000,0,Соколиная гора,2-й Вольный переулок,11С2,Соколиная гора,,8,"Москва, 2-й Вольный переулок, 11С2"
1515,YES,official_representative,https://www.cian.ru/rent/flat/247225497/,Москва,rent,flat,21,24,-1,36.0,90000,0,Митино,Митинская ,16,Митино,,18,"Москва, Митинская , 16"
1516,Мария Гужаковская,realtor,https://www.cian.ru/rent/flat/279440432/,Москва,rent,flat,3,9,-1,25.0,35000,0,, Солнечная,3Ас3,Рассказовка,,41,"Москва,  Солнечная, 3Ас3"
1517,ID 77705105,homeowner,https://www.cian.ru/rent/flat/262107049/,Москва,rent,flat,2,3,1,28.0,35000,0,, Спортивная,,Саларьево,,29,"Москва,  Спортивная, "
1518,YES,official_representative,https://www.cian.ru/rent/flat/280686866/,Москва,rent,flat,11,24,-1,27.0,63500,0,Митино,Митинская ,16,Митино,,18,"Москва, Митинская , 16"
1519,ZIP Realty,real_estate_agent,https://www.cian.ru/rent/flat/300530674/,Москва,rent,flat,1,5,1,20.0,90000,0,Тверской,3-я Тверская-Ямская ,26,Маяковская,,8,"Москва, 3-я Тверская-Ямская , 26"
1520,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/301618590/,Москва,rent,flat,7,17,1,25.0,36000,0,, Александры Монаховой,87к6,Бунинская аллея,,86,"Москва,  Александры Монаховой, 87к6"
1521,Елена Форман,realtor,https://www.cian.ru/rent/flat/300677651/,Москва,rent,flat,3,5,-1,20.5,53000,0,Марфино,Гостиничная ,5,Окружная,,25,"Москва, Гостиничная , 5"
1522,Александра  Демчук,realtor,https://www.cian.ru/rent/flat/300813905/,Москва,rent,flat,12,36,-1,27.4,120000,0,Беговой,Ленинградский проспект,34А,Динамо,,16,"Москва, Ленинградский проспект, 34А"
1523,ID 395633,realtor,https://www.cian.ru/rent/flat/299570827/,Москва,rent,flat,2,2,1,18.0,22000,0,Южное Бутово,Чечерский проезд,,Бульвар Адмирала Ушакова,,14,"Москва, Чечерский проезд, "
1524,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/271730280/,Москва,rent,flat,6,24,1,27.0,38000,0,, Бачуринская,7к2,Коммунарка,,83,"Москва,  Бачуринская, 7к2"
1525,Ксения Краснокутская,realtor,https://www.cian.ru/rent/flat/300472015/,Москва,rent,flat,3,12,1,26.9,73000,0,Беговой,Ленинградский проспект,33А,Динамо,,16,"Москва, Ленинградский проспект, 33А"
1526,ID 91948660,homeowner,https://www.cian.ru/rent/flat/276809417/,Москва,rent,flat,2,17,1,23.0,31000,0,Некрасовка,Покровская ,14,Некрасовка,,18,"Москва, Покровская , 14"
1527,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/299252301/,Москва,rent,flat,13,35,-1,25.1,110000,0,Беговой,Ленинградский проспект,34А,Динамо,,16,"Москва, Ленинградский проспект, 34А"
1528,InHome24,real_estate_agent,https://www.cian.ru/rent/flat/274073991/,Москва,rent,flat,6,19,-1,20.0,59990,0,, Летчика Ульянина,7,Рассказовка,,41,"Москва,  Летчика Ульянина, 7"
1529,Александр Филатов,realtor,https://www.cian.ru/rent/flat/274846847/,Москва,rent,flat,3,26,1,43.0,65000,0,Головинский,Кронштадтский бульвар,6к2,Водный стадион,,21,"Москва, Кронштадтский бульвар, 6к2"
1530,InHome24,real_estate_agent,https://www.cian.ru/rent/flat/301363716/,Москва,rent,flat,4,6,-1,15.0,39990,0,Марьино,Донецкая ,34к3,Курьяново,,10,"Москва, Донецкая , 34к3"
1531,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/301662756/,Москва,rent,flat,11,28,1,20.0,75000,0,Даниловский,Дубининская ,59А,Павелецкая,,11,"Москва, Дубининская , 59А"
1532,ID 97003022,homeowner,https://www.cian.ru/rent/flat/293859472/,Москва,rent,flat,5,5,-1,25.0,28999,0,, Жемчужная,1к16,Филатов Луг,,80,"Москва,  Жемчужная, 1к16"
1533,ID 74492965,realtor,https://www.cian.ru/rent/flat/301788460/,Москва,rent,flat,4,24,1,21.0,60000,0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,,17,"Москва, Ленинский проспект, 158"
1534,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/301564497/,Москва,rent,flat,45,52,1,31.0,95000,0,Раменки,Мичуринский проспект,56,Раменки,,7,"Москва, Мичуринский проспект, 56"
1535,ID 43944097,homeowner,https://www.cian.ru/rent/flat/297748566/,Москва,rent,flat,3,4,-1,15.0,40000,0,Донской,Новоданиловский проезд,4,Тульская,,18,"Москва, Новоданиловский проезд, 4"
1536,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/301477118/,Москва,rent,flat,2,35,1,25.0,50000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к2,Кленовый бульвар,,13,"Москва, 2-й Нагатинский проезд, 2/2к2"
1537,Ирина Титова,realtor,https://www.cian.ru/rent/flat/299282681/,Москва,rent,flat,35,65,-1,55.0,185000,0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,,25,"Москва, 1-й Красногвардейский проезд, 22с1"
1538,ID 86999591,homeowner,https://www.cian.ru/rent/flat/290793128/,Москва,rent,flat,1,5,1,13.0,39000,0,Даниловский,Автозаводская ,19К1,Автозаводская,,6,"Москва, Автозаводская , 19К1"
1539,Юлия Махматкулова,realtor,https://www.cian.ru/rent/flat/300308253/,Москва,rent,flat,4,5,-1,25.0,54990,0,Ростокино,Сельскохозяйственная ,17к4,Ботанический сад,,41,"Москва, Сельскохозяйственная , 17к4"
1540,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/301596072/,Москва,rent,flat,5,23,1,26.0,33000,0,Некрасовка, Маресьева,6к2,Некрасовка,,18,"Москва,  Маресьева, 6к2"
